Remote Realms – Farming Data (Plant + Harvest XP),,,,,,,
,,,,,,,
,,,,,,,
"Sources: Remote Realms Wiki (Fandom) Farming page + personal in-game testing notes.
Scope: Planting and Harvesting XP only (watering and fertilizer/compost XP are excluded from calculator outputs).",,,,,,,
,,,,,,,
Wiki Source:,Farming (Fandom),,,,,,
,,,,,,,
Patch Type,Seed/Crop,Level Req,Seeds to Plant,Plant XP,Harvest XP,XP per Cycle,Growth Time*
Thin,Potato,1,3,9,12,21,25 mins
Thin,Carrot,5,3,15,17,32,85 mins
Thin,Onion,14,3,25,22,47,105 mins
Thin,Cucumber,26,3,39,25,64,130-35 mins
Thin,Tomato,32,3,37,27,64,130-35 mins
Thin,Avocado,40,3,67,44,111,205-210 mins
Thin,Watermelon,49,3,85,57,142,205-210 mins
Thin,Cacao fruit,71,3,90,65,155,205-210 mins
Wide,Flax,9,10,16,21,37,
Wide,Wheat,21,10,28,26,54,
Wide,Barley,27,10,42,30,72,
Wide,Cotton,35,10,60,37,97,
Wide,Sugarcane,64,10,72,57,129,
Herb,Panrodon,11,1,16,18,34,
Herb,Cerl,17,1,22,25,47,
Herb,Tryllium,21,1,30,33,63,
Herb,Aljarro,24,1,33,37,70,
Herb,Morrithol,29,1,43,45,88,
Herb,Landonil,35,1,50,54,104,
Herb,Hops,36,1,52,52,104,
Herb,Casvuil,40,1,,,,
Herb,Ditrisil,42,1,63,66,129,
Herb,Sebernis,47,1,66,71,137,
Herb,Osukeno,54,1,72,72,144,
Herb,Sanatone,61,1,77,77,154,
Flower,Twisted blade,40,1,60,30,90,
Underwater,Seaweed,33,1,30,36,66,
Underwater,Thick kelp,44,1,50,48,98,
*Growth times are based on watering can application on 1st planting and consistent casting of Rain Dance,,,,,,,
,,,,,,,
,,,Watermelon Yield Test (Jen’s notes),,,,
,,,Harvests recorded,16,,,
,,,Full patch size (plots),40,,,
,,,Seeds per plot (Watermelon),3,,,
,,,Planting XP per plot (wiki),85,,,
,,,Planting XP per full run (40 plots × 85 XP),3400,,,
,,,Yield range observed (per plot),4–11,,,
,,,Most common yield (mode),5,,,
,,,Yield distribution sample (count of plots),"11×1, 8×3, 7×2, 6×3, 5×4, 4×1",,,
,,,Compost context,"Watermelon used as compost agent, producing grade 10–12 compost (highest currently available)",,,
,,,Modeling choice,"Use expected yield = 5 per plot. If yield is higher, bonus XP is treated as a happy surprise.",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,Compost and yield notes,,,,
,,,Compost in Remote Realms is made by processing organic materials and can be used on farming plots to increase crop yields;,,,,
,,,higher level produce makes higher grade compost that often results in larger harvests.,,,,
,,,,,,,
,,,"Because compost affects yield variability rather than base XP values,",,,,
,,,it is not included in the calculator’s core calculations but is noted here for context.,,,,
,,,,,,,
,,,For more information look here: https://remote-realms.fandom.com/wiki/Compost,,,,